"label","sentence"
"1","a superb 18th century european carved ivory dish. 11½in wide. fine antique 16 september. estimate: £1500-2000 {{mention}} {{url}} [sep] john nicholson's auctioneers are the largest auctioneers in the south of england, holding regular fine art, general and antiquarian auctions"
"1","minton bronze and ivory figures {{mention}}! minton bronze and ivory figurine  {{url}} [sep] the potteries antique centre stoke on trent."
"1","29 mei 2010! official release of the mammoth ivory website! [sep] mammoth ivory carvins from china. you can visit our showroom at de oude aarde at giethoorn, the netherlands"
"1","an indo-portuguese ivory inlaid cabinet, india, circa 1680 | new york | mallett antiques: {{url}} [sep] art antiques design"
"1","legal mammoth ivory carving of fisherman

special offer link: {{url}}

#ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersale {{url}} [sep] i love art especially carved legal ivory"
"1","this is a very high quality mammoth ivory carving netsuke a listening to music. this netsuke is carved out of genuine pure mammoth ivory!

{{url}}

#netsuke #sculpture #ivory #mammothivory {{url}} [sep] i love art especially carved legal ivory"
"1","a pair of late victorian stained ivory cuff links by child & child c1905. each terminal designed as a heart, collet set with a green stained ivory panel conjoined by belcher links. {{url}} [sep] likes antiques, fine art & jewellery. #antiquesvintage...#antiquejewellery...#vintagecostume...#curios. {{url}}"
"1","you can buy this wonderful, yet exquisite work of crane and deer  on a wooden plank carefully sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}} [sep] i love art especially carved legal ivory"
"1","you can buy this splendid and graceful carving of seven lucky gods on a wooden plank by authentic mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}} [sep] i love art especially carved legal ivory"
"1","as one of the four creatures of the world’s directions, the dragon stands for new beginnings. the dragon also has the power to release water to parched lands, and which in turn stands for abundance and relief. 

{{url}}

#dragon #newbeginnings #ivory #mammothivory {{url}} [sep] i love art especially carved legal ivory"
"1","buddha carving from ivory mammoth {{url}} [sep] [nodes]"
"1","this is a beautiful japanes ivory mei-ji. enjoy it! {{url}} [sep] la tienda data desde 1945, situada en el barrio porteño de san telmo. nos dedicamos a la compra/venta de antiguedades."
"1","look at this mighty yet robust creation of japanese samurai figurines precisely sculpted with original mammoth ivory.

new year sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #newyearsale #holidayshopping {{url}} [sep] i love art especially carved legal ivory"
"1","amazing mammoth ivory carving of birds on a flower

this exquisite sculpture is of a bird perking a leaf. 

{{url}}

#mammoth #mammothivory #ivory #mammothivorytusk
#bird #birdsivorycarvingivory #passion #art #beautiful #nature #legalmammothivory #masterpiece {{url}} [sep] i love art especially carved legal ivory"
"1","small ivory card case #jeremygreenantiques #cardcase #ivory {{url}} [sep] we purchase a wide range of antiques & collectables. free valuations, competitive prices, house clearances and probate service"
"1","our #silver & objects of vertu sale on 16th july features some interesting pieces including this #mokume tea caddy by #tiffanyandco, #edwardmoore period, decorated with a carved ivory okimono finial of playful #japanese figures. estimated at £1,000-1,500. {{url}} {{url}} [sep] fine art auction house with specialist departments including silver, jewellery, paintings, furniture, african art, militaria, ceramics, design and asian art"
"1","william grimaldi (1751-1830), portrait of  a gentleman in a blue coat and stock and a women in a gold dress with a lace jabot, holding a child,  portrait miniatures, a pair, watercolour on ivory, inscribed paper verso ""w grimaldi ar engraver {{url}} [sep] the quality auction house operated by killens and serving north & central somerset. please contact 01749 840770 and {{email}} for info"
"1","you can buy this beautiful work of the dragon and phoenix on a wooden plank carefully sculpted with original mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}} [sep] i love art especially carved legal ivory"
"1","rt {{mention}}: #halloween decor. described as an ""ivory memento mori, south german,17th c. the articulated ivory skeleton in an eboni… [sep] antique dealer. 903 christchurch rd.
bsc hons student {{mention}}. gambler. immortal.

insta: jonirvine_antiques/facebook: {{mention}}"
"1","#letstrove vintage french ivory dining set all with beautiful shell and leaf carvings- a real statement piece for any dining room, which seats up to 10 people when fully extended!
{{url}} 
#vintagediningset #frenchdiningset #frenchhome #frenchinteriors {{url}} [sep] online furniture store providing european, french, antique and shabby chic items lovingly enhanced or restored to cherish in your home for years to come"
"1","the weird, the wonderful and the macabre. our 20/21 may auction, including the contents of astley townhouse, includes some of the most unusual and bizarre items we have ever seen. featured - a meiji period carved ivory human skull, snake and skeleton netsuke £800-1,200 {{url}} [sep] fine art & antique auctioneers & valuers. our next auction, back to the future 17 and 18 february. see website for details"
"1","our christmas sale includes objects, jewellery, silver and alcohol - starts at 9:30am on wednesday 8th december.

lot no 3 - sixteen indian mughal oval portrait miniatures hand painted onto ivory of temples and figures,

view the catalogue here: {{url}}

#mughal {{url}} [sep] eastbourne auctions are the souths leading auctioneers & valuers with a passion for collectable items sold around the world"
"1","you can buy this antique carving of lions and rhino handcrafted statue produced using with the finest mammoth ivory.

christmas sale upto 20% off
buy now @ {{url}}

#mammothivorysculpture #mammothivory #ivoryandart #christmassale #holidayshopping {{url}} [sep] i love art especially carved legal ivory"
"1","the kendall infinity cowl in ivory  {{url}} [sep] a carefully curated, limited collection of authentic vintage goods and new, hand-made personal accessories. ❤️ everything has a story."
"1","what a beautiful year it has been! we can only say thanks to all our customers!!
wishing you all a great evening with family and friends, and that 2020 may bring you good health and joy!
#ivoryandart #ivorycarving #mammothivory #legalivory #carveivory #netsuke #mammothivorytusk {{url}} [sep] i love art especially carved legal ivory"
"1","asian art in london soon! ivory shibayama fruit on sale - bulstrodes #lotoftheday {{mention}} {{url}} {{url}} [sep] [nodes]"
"1","preparing the photoshoot for our mammoth ivory carvings! [sep] mammoth ivory carvins from china. you can visit our showroom at de oude aarde at giethoorn, the netherlands"
"1","museum quality mammoth ivory netsuke of – 5 mice and mask head. amazing art creation on the tiny mammoth ivory tusk scrap.
just imagine that this scene is carved on piece that smaller than a lighter.

{{url}}

#sculpture #ivoryart #ivory #carving #mammothivory {{url}} [sep] i love art especially carved legal ivory"
"1","check this gorgeous mammoth ivory carving {{url}} [sep] mammoth ivory carvins from china. you can visit our showroom at de oude aarde at giethoorn, the netherlands"
"1","goa ivory, 18th century, 11,5 cm {{url}} [sep] antiques dealer in brussels"
"1","{{mention}} mammoth ivory facebook is awesom! [sep] mammoth ivory carvins from china. you can visit our showroom at de oude aarde at giethoorn, the netherlands"
"1","anglo-indian shisham wood & ivory inlaid side table from mysore, attributed to ahmedali & brothers of mysore (awarded a silver medal at the calcutta exhibition of 1884). £1,200: {{url}} [sep] antiques dealer, ex bonhams. writer & blogger. likes gin and backgammon. unhealthy interest in second hand books and unreliable cars."
"1","digging this….
george iii irish silver butter spade marked for dublin 1786 with stained ivory handle by joseph jackson, having the crest of newton of charlton, kent and dunleckny, co. carlow, ireland. {{url}} [sep] antique dealer based in franschhoek, south africa. the old corkscrew is my home base but you can catch me in johannesburg and london as well."
