"tweet_id","tweet_text","user_description","labels wild life trade = 1, non wild life trade = 0"
"0","RT {{MENTION}}: Starting in one hour. Raising money for {{MENTION}} while playing some more #Fallout4 We hit our first milestone y…","Can't start a fire... Can't start a fire without a spark. 
This gun's for hire, even if we're just dancin' in the dark."
"1","$102.82 this week! This is how I now make a part time income... You can too &gt;&gt; {{URL}}","Follow me and you'll find out!"
"2","OPEN today 10 am until 1 pm
419 CCPkwy Cape Coral Fl {{URL}}","We are 3rd generation Brocante-Antique Import Dealers. Specializing in French, Dutch and fine items for the Ladies. We offer a variety Decor & Design services."
"3","A superb 18th century European carved ivory dish. 11½in wide. Fine Antique 16 September. Estimate: £1500-2000 {{MENTION}} {{URL}}","John Nicholson's Auctioneers are the largest auctioneers in the south of England, holding regular Fine Art, General and Antiquarian Auctions"
"4","Driving aroundd :P","Im 13 years young
im in love with the most amazing guy ever !!! :)"
"5","Minton Bronze and Ivory Figures {{MENTION}}! Minton Bronze and Ivory Figurine  {{URL}}","The Potteries Antique Centre Stoke on Trent."
"6","RT {{MENTION}}: Lot of 9 - Grey Size Small 'Custom Chrome' 1/4 Zip Up Sweater - NEW!!! {{URL}}",""
"7","I just opened a mystery potion in Agario and won amazing rewards. Come and play to win unique mystery skins! {{URL}}","Backend, frontend and iOS developer in Berlin."
"8","I was too tired to tweet about the TriNation game between NZ and AU once again. Have to hand it to the Wallabies. They really brought it. Hard fought and hard won. We'll get them next time. On to Argentina!",""
"9","29 Mei 2010! Official release of the Mammoth Ivory website!","Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
"10","Weekly Sale starts at 9:30am - Lot 1 A 17th century caved panelled oak coffer Estimate: £80-120
#gorringes #auction #antiques #collectables #coffer {{URL}}","The leading #fineart & #antiques #auctioneers in the South East. Explore our collections at: {{URL}} or visit us in #Lewes #EastSussex"
"11","RT {{MENTION}}: Each map in this story shows the rise ↑ or fall ↓ in percentage terms of a county’s total acreage devoted to corn, soybe…","Co-founder, Aggio.io. Optimist. Learner. Fan of the beautiful game."
"12","Collection of Antique Ebony &amp; Ivory Dominoes available at {{URL}}. {{URL}}",""
"13","AN INDO-PORTUGUESE IVORY INLAID CABINET, India, circa 1680 | New York | Mallett Antiques: {{URL}}","Art Antiques Design"
"14","RT {{MENTION}}: Painter + educator Alma Thomas in her DC home studio, 1530 15th St., NW, in 1971 [via {{MENTION}}]: {{URL}}","VP Engineering {{MENTION}} -- naturally, we're hiring | Justice. Vegetables. Art. Dogs | she/her"
"15","Legal Mammoth Ivory Carving of Fisherman

Special Offer Link: {{URL}}

#Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersale {{URL}}","I love Art especially Carved legal ivory"
"16","This is a very high quality mammoth ivory carving netsuke A Listening To Music. This netsuke is carved out of genuine pure Mammoth ivory!

{{URL}}

#netsuke #sculpture #ivory #mammothivory {{URL}}","I love Art especially Carved legal ivory"
"17","A pair of late Victorian stained ivory cuff links by Child &amp; Child c1905. Each terminal designed as a heart, collet set with a green stained ivory panel conjoined by belcher links. {{URL}}","Likes Antiques, Fine Art & Jewellery. #AntiquesVintage...#AntiqueJewellery...#VintageCostume...#Curios. {{URL}}"
"18","{{MENTION}} No Kidding...and kids could stay out without parents just as long as they were home when the street lights came on (at least that was the rule in Nebraska and Kansas back in the day).","Vice President of Operations with an insatiable appetite for learning.  Good at consulting, sales and operations.  Love Irish pubs, U2, and my baby girl Sophia."
"19","STAR LOT: A good Japanese Shibayama inlaid ivory two-fold table screen (Tsuitate), Meiji period, inlaid in ivory, red lacquer and mother-of-pearl...

Consigned for sale in Winchester, sold in Wisborough Green for £7,600.

{{MENTION}} {{URL}}","The leading Auctioneers and Valuers in Winchester. Fine art, ceramics, jewellery, watches, silver, medals, furniture, wine & spirits, toys and collectors Items"
"20","RT {{MENTION}}: So {{MENTION}} and {{MENTION}} of Third Bass appear to be the people in charge of {{MENTION}}, stealing music/selling it as…","The computerized man of the 1990s"
"21","RT {{MENTION}}: Web 3.0 was clearly rushed, there's so many bugs. All we needed were higher quality cat videos and expanded pronoun manage…","Infosec professional by day. Photographer, web designer, skeptic, & gamer by night! I am a bearded video game collector and now Twitch Affiliate! (he/him)"
"22","Mammoth Ivory Carved: {{URL}} via {{MENTION}}","El Cid Gallery is an art gallery which includes both antiques and modern design; Carvings, Glass 
Crystals and Modern Art Work.

{{URL}}"
"23","You can buy this wonderful, yet exquisite work of Crane and Deer  on a wooden plank carefully sculpted with original mammoth ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}","I love Art especially Carved legal ivory"
"24","{{MENTION}} being in a relationship. 😂","Programmer, reader, philosopher, woodworker, beer brewer, armchair economist, classic liberal – I like to explore and learn new things."
"25","Report shows poached ivory goes to Asia, not the U.S #ivoryboondoggle #ctbudget #cpolitics {{URL}} {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
"26","You can buy this splendid and graceful Carving of Seven Lucky Gods on a wooden plank by authentic Mammoth Ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}","I love Art especially Carved legal ivory"
"27","Vintage North American Hunting Club Eagle Zipper Pull Key Fob Key Chain {{URL}} {{URL}}","Etsy Shop with great vintage goodies for your bar, barbershop, tattoo parlor, etc."
"28","As one of the four creatures of the world’s directions, the Dragon stands for new beginnings. The Dragon also has the power to release water to parched lands, and which in turn stands for abundance and relief. 

{{URL}}

#dragon #newbeginnings #ivory #mammothivory {{URL}}","I love Art especially Carved legal ivory"
"29","Joyous high quality mammoth ivory carving of standing Buddha on a teak wood
{{URL}} {{URL}}","El Cid Gallery is an art gallery which includes both antiques and modern design; Carvings, Glass 
Crystals and Modern Art Work.

{{URL}}"
"30","trying to hydrate after a long weekend of debotchery. some food is helping...more fluid...please",""
"31","Buddha carving from ivory mammoth {{URL}}",""
"32","14th century French #ivory box, banned if hb5578 passes in CT. #gothic #themet #gunrights {{MENTION}}  #veto {{URL}}","Opposing CT hb5578,  MA h1275, RI2796 which ban antique ivory.  Save elephants without violating property rights, gun rights, art, history and culture."
"33","Polychrome &amp; gilded Delftware Fountain with lid and spout att. Jacobus Halder, De Grieksche A in 1766

Description

This polychrome fountain with lid, brass and original ivory spout, is decorated with prince William… {{URL}}","Cloud Engineer & Delftware enthusiast"
"34","This is a beautiful japanes ivory Mei-ji. Enjoy it! {{URL}}","La tienda data desde 1945, situada en el barrio porteño de San Telmo. Nos dedicamos a la compra/venta de antiguedades."
"35","Free &amp; easy for most= ""KINDNESS"" {{URL}}","We are 3rd generation Brocante-Antique Import Dealers. Specializing in French, Dutch and fine items for the Ladies. We offer a variety Decor & Design services."
"36","Thank you to those who have been in touch regarding last night's announcement. We are currently seeking further guidance as to if and how auctions are allowed to proceed and hope to have a clearer understanding by Tuesday. We will update you accordingly.","Fine Art auction house with specialist departments including Silver, Jewellery, Paintings, Furniture, African Art, Militaria, Ceramics, Design and Asian Art"
"37","Look at this mighty yet robust creation of Japanese Samurai Figurines precisely sculpted with original mammoth ivory.

New Year Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #NewYearSale #HolidayShopping {{URL}}","I love Art especially Carved legal ivory"
"38","Amazing Mammoth Ivory Carving Of Birds On A Flower

This exquisite sculpture is of a bird perking a leaf. 

{{URL}}

#mammoth #mammothivory #ivory #mammothivorytusk
#bird #birdsivorycarvingivory #passion #art #beautiful #nature #legalmammothivory #masterpiece {{URL}}","I love Art especially Carved legal ivory"
"39","Vintage Complete Works of William Shakespeare 1940's, with Tem by IvoryAnnHome  {{URL}} via {{MENTION}}","We find treasured items that offer nostalgia and renew a genuine connection; to inspire others and create a wonderful balance between tradition and modernity."
"40","Small ivory card case #jeremygreenantiques #cardcase #ivory {{URL}}","We purchase a wide range of antiques & collectables. Free valuations, competitive prices, House clearances and probate service"
"41","Our #Silver &amp; Objects of Vertu sale on 16th July features some interesting pieces including this #Mokume tea caddy by #TiffanyandCo, #EdwardMoore period, decorated with a carved ivory okimono finial of playful #Japanese figures. Estimated at £1,000-1,500. {{URL}} {{URL}}","Fine Art auction house with specialist departments including Silver, Jewellery, Paintings, Furniture, African Art, Militaria, Ceramics, Design and Asian Art"
"42","William Grimaldi (1751-1830), Portrait of  a gentleman in a blue coat and stock and a women in a gold dress with a lace jabot, holding a child,  portrait miniatures, a pair, watercolour on ivory, inscribed paper verso ""W Grimaldi AR engraver {{URL}}","The Quality Auction House operated by Killens and serving North & Central Somerset. Please contact 01749 840770 and {{EMAIL}} for info"
"43","{{MENTION}} so wait... her daughter was less than a year old when ""The mother-daughter duo first launched Pixie’s Bows in 2011""?",""
"44","You can buy this beautiful work of The Dragon And Phoenix on a wooden plank carefully sculpted with original mammoth ivory.

Christmas Sale Upto 20% Off
Buy Now @ {{URL}}

#MammothIvorySculpture #MammothIvory #IvoryAndArt #ChristmasSale #HolidayShopping {{URL}}","I love Art especially Carved legal ivory"
"45","#Painting representing  a #Moroccan scene, signed PSNVERS
#vintage #modern #vintageshop #deco #decoration #ElRastro #Madrid #style #instadecor #instaantiques #interior #design #inspiration #interiors #homedecor #antiquesdealersofinstagram #antiqueshop #art {{URL}}","EL TRANSFORMISTA, founded in 1991, it´s specializes in #decorativearts from the period of #30s until #70s, #antiques and unique objects"
"46","RT {{MENTION}}: #Halloween decor. Described as an ""Ivory memento mori, South German,17th c. the articulated ivory skeleton in an eboni…","Antique dealer. 903 Christchurch Rd.
BSc Hons student {{MENTION}}. Gambler. Immortal.

insta: jonirvine_antiques/facebook: {{MENTION}}"
