tweet_id,Gabe,Guanyi,Mom,Sum,tweet_text,user_description
0,0,0,0,0,RT {{MENTION}}: Starting in one hour. Raising money for {{MENTION}} while playing some more #Fallout4 We hit our first milestone y…,"Can't start a fire... Can't start a fire without a spark. 
This gun's for hire, even if we're just dancin' in the dark."
1,0,0,0,0,$102.82 this week! This is how I now make a part time income... You can too &gt;&gt; {{URL}},Follow me and you'll find out!
2,0,0,0,0,"OPEN today 10 am until 1 pm
419 CCPkwy Cape Coral Fl {{URL}}","We are 3rd generation Brocante-Antique Import Dealers. Specializing in French, Dutch and fine items for the Ladies. We offer a variety Decor & Design services."
3,1,1,1,3,A superb 18th century European carved ivory dish. 11½in wide. Fine Antique 16 September. Estimate: £1500-2000 {{MENTION}} {{URL}},"John Nicholson's Auctioneers are the largest auctioneers in the south of England, holding regular Fine Art, General and Antiquarian Auctions"
4,0,0,0,0,Driving aroundd :P,"Im 13 years young
im in love with the most amazing guy ever !!! :)"
5,1,1,1,3,Minton Bronze and Ivory Figures {{MENTION}}! Minton Bronze and Ivory Figurine  {{URL}},The Potteries Antique Centre Stoke on Trent.
6,0,0,0,0,RT {{MENTION}}: Lot of 9 - Grey Size Small 'Custom Chrome' 1/4 Zip Up Sweater - NEW!!! {{URL}},
7,0,0,0,0,I just opened a mystery potion in Agario and won amazing rewards. Come and play to win unique mystery skins! {{URL}},"Backend, frontend and iOS developer in Berlin."
8,0,0,0,0,I was too tired to tweet about the TriNation game between NZ and AU once again. Have to hand it to the Wallabies. They really brought it. Hard fought and hard won. We'll get them next time. On to Argentina!,
9,1,1,1,3,29 Mei 2010! Official release of the Mammoth Ivory website!,"Mammoth Ivory Carvins from China. You can visit our showroom at De Oude Aarde at Giethoorn, The Netherlands"
10,0,0,0,0,"Weekly Sale starts at 9:30am - Lot 1 A 17th century caved panelled oak coffer Estimate: £80-120
#gorringes #auction #antiques #collectables #coffer {{URL}}",The leading #fineart & #antiques #auctioneers in the South East. Explore our collections at: {{URL}} or visit us in #Lewes #EastSussex
11,0,0,0,0,"RT {{MENTION}}: Each map in this story shows the rise ↑ or fall ↓ in percentage terms of a county’s total acreage devoted to corn, soybe…","Co-founder, Aggio.io. Optimist. Learner. Fan of the beautiful game."
12,0,0,1,1,Collection of Antique Ebony &amp; Ivory Dominoes available at {{URL}}. {{URL}},
13,1,1,1,3,"AN INDO-PORTUGUESE IVORY INLAID CABINET, India, circa 1680 | New York | Mallett Antiques: {{URL}}",Art Antiques Design
14,0,0,0,0,"RT {{MENTION}}: Painter + educator Alma Thomas in her DC home studio, 1530 15th St., NW, in 1971 [via {{MENTION}}]: {{URL}}","VP Engineering {{MENTION}} -- naturally, we're hiring | Justice. Vegetables. Art. Dogs | she/her"
15,1,1,1,3,"Legal Mammoth Ivory Carving of Fisherman

Special Offer Link: {{URL}}

#Ivoryandart #art #sculpture #sculptures #homedecor #homedecoration #summersale #summersale {{URL}}",I love Art especially Carved legal ivory
16,1,1,1,3,"This is a very high quality mammoth ivory carving netsuke A Listening To Music. This netsuke is carved out of genuine pure Mammoth ivory!

{{URL}}

#netsuke #sculpture #ivory #mammothivory {{URL}}",I love Art especially Carved legal ivory
17,1,1,1,3,"A pair of late Victorian stained ivory cuff links by Child &amp; Child c1905. Each terminal designed as a heart, collet set with a green stained ivory panel conjoined by belcher links. {{URL}}","Likes Antiques, Fine Art & Jewellery. #AntiquesVintage...#AntiqueJewellery...#VintageCostume...#Curios. {{URL}}"
18,0,0,0,0,{{MENTION}} No Kidding...and kids could stay out without parents just as long as they were home when the street lights came on (at least that was the rule in Nebraska and Kansas back in the day).,"Vice President of Operations with an insatiable appetite for learning.  Good at consulting, sales and operations.  Love Irish pubs, U2, and my baby girl Sophia."
19,1,1,1,3,"STAR LOT: A good Japanese Shibayama inlaid ivory two-fold table screen (Tsuitate), Meiji period, inlaid in ivory, red lacquer and mother-of-pearl...

Consigned for sale in Winchester, sold in Wisborough Green for £7,600.

{{MENTION}} {{URL}}","The leading Auctioneers and Valuers in Winchester. Fine art, ceramics, jewellery, watches, silver, medals, furniture, wine & spirits, toys and collectors Items"
20,0,0,0,0,"RT {{MENTION}}: So {{MENTION}} and {{MENTION}} of Third Bass appear to be the people in charge of {{MENTION}}, stealing music/selling it as…",The computerized man of the 1990s
